,Country,Population,YearlyChange,NetChange,Density,LandArea,Migrants,Fert.Rate,Med.Age,UrbanPop,WorldShare,Latitude,Longitude
60,Romania,19262731,-0.0066,-126866,84,230170,-73999.0,1.6,43,0.55,0.0025,45.845854975000066,24.973472215000072
61,Malawi,19024426,0.0269,501205,203,94280,-16053.0,4.3,18,0.18,0.0025,-13.50952235099993,34.24073561300003
62,Chile,19082804,0.0087,164163,26,743532,111708.0,1.7,35,0.85,0.0025,-29.999999999999943,-70.99999999999994
63,Kazakhstan,18730568,0.0121,225280,7,2699700,-18000.0,2.8,31,0.58,0.0024,48.18310616400004,67.19504548200007
64,Zambia,18273379,0.0293,522925,25,743390,-8000.0,4.7,18,0.45,0.0024,-14.46880366299996,28.76797288100005
65,Guatemala,17846248,0.019,334096,167,107160,-9215.0,2.9,23,0.52,0.0023,15.697237961000042,-90.36397945999994
66,Ecuador,17587526,0.0155,269392,71,248360,36400.0,2.4,28,0.63,0.0023,-1.428836290999925,-78.77523855199996
67,Syria,17410293,0.0252,430523,95,183630,-427391.0,2.8,26,0.6,0.0022,35.01280854600003,38.50527333900004
68,Netherlands,17127290,0.0022,37742,508,33720,16000.0,1.7,43,0.92,0.0022,52.24937529300007,5.616126398000063
69,Senegal,16649599,0.0275,447563,87,192530,-20000.0,4.7,19,0.49,0.0021,14.363032568000051,-14.459259560999953
70,Cambodia,16671185,0.0141,232423,95,176520,-30000.0,2.5,26,0.24,0.0021,12.708188507000045,104.91471615200004
71,Chad,16324440,0.03,478988,13,1259200,2000.0,5.8,17,0.23,0.0021,15.376264850000041,18.674165747000075
72,Somalia,15798020,0.0292,450317,25,627340,-40000.0,6.1,17,0.47,0.002,4.40461606100007,46.20310500000005
73,Zimbabwe,14818157,0.0148,217456,38,386850,-116858.0,3.6,19,0.38,0.0019,-19.016205470999978,29.884276749000037
74,Guinea,13056478,0.0283,361549,53,245720,-4000.0,4.7,18,0.39,0.0017,10.435445941000069,-10.942500889999963
75,Rwanda,12883878,0.0258,325268,525,24670,-9000.0,4.1,20,0.18,0.0017,-1.9983949569999595,29.956312610000055
76,Benin,12055347,0.0273,322049,108,112760,-2000.0,4.9,19,0.48,0.0016,9.661949812000046,2.33919688900005
77,Burundi,11814346,0.0312,360204,463,25680,2001.0,5.5,17,0.14,0.0015,-3.322303981999937,29.926441276000048
78,Tunisia,11793319,0.0106,123900,76,155360,-4000.0,2.2,33,0.7,0.0015,34.11631798800005,9.60851649600005
79,Bolivia,11640159,0.0139,159921,11,1083300,-9504.0,2.8,26,0.69,0.0015,-16.67085566199995,-64.59749402799997
80,Belgium,11579477,0.0044,50295,383,30280,48000.0,1.7,42,0.98,0.0015,50.640682937000065,4.661070427000027
81,Haiti,11373955,0.0124,139451,414,27560,-35000.0,3,24,0.57,0.0015,18.320000841000024,-73.05271499999998
82,Cuba,11327988,-0.0006,-6867,106,106440,-14400.0,1.6,42,0.78,0.0015,22.000000000000057,-79.49999999999994
83,South Sudan,11166783,0.0119,131612,18,610952,-174200.0,4.7,19,0.25,0.0014,7.263460914000063,30.343765666000024
84,Dominican Republic,10825682,0.0101,108952,225,48320,-30000.0,2.4,28,0.85,0.0014,18.89668483400004,-70.49003617099999
85,Czech Republic (Czechia),10705012,0.0018,19772,139,77240,22011.0,1.6,43,0.74,0.0014,49.73885405000004,15.331770120000044
86,Greece,10433037,-0.0048,-50401,81,128900,-16000.0,1.3,46,0.85,0.0013,39.00000000000006,22.000000000000057
87,Jordan,10182442,0.01,101440,115,88780,10220.0,2.8,24,0.91,0.0013,31.248189480000065,36.78810430300007
88,Portugal,10202571,-0.0029,-29478,111,91590,-6000.0,1.3,46,0.66,0.0013,39.59313904600003,-8.519812989999934
89,Azerbaijan,10120555,0.0091,91459,123,82658,1200.0,2.1,32,0.56,0.0013,40.29016196900005,47.52870740700007
90,Sweden,10086531,0.0063,62886,25,410340,40000.0,1.9,41,0.88,0.0013,64.71258554700006,17.260487956000077
91,Honduras,9871892,0.0163,158490,89,111890,-6800.0,2.5,24,0.57,0.0013,14.824173968000025,-86.60026424299997
